candidate_measure,rows,unique_conversations
recursive depth and feedback-loop structure,4508,284
symbolic compression/reconstruction fidelity,4369,316
cross-model structural conservation,3449,480
cross-domain integration/fusion index,3367,360
minimal-description reconstruction fidelity,2620,309
longitudinal survival function,2337,318
"graph motifs, cycles, SCC, feedback edges",1585,259
"transition law, curvature, convergence, dwell",1563,245
topology conservation across domains,867,173
self-reference/self-model depth,863,177
simultaneous active structural layers,861,195
trajectory/state-space geometry,798,155
perturbation/damage recovery,601,189
ancestor-descendant conservation,499,125
composition/decomposition generalization,476,147
nested meta-system/observer-controller depth,322,108
nested abstraction depth,250,77
nan,225,123
lagged user-assistant structural coupling,144,54
typed association density/network entropy,140,37
descendant/module generation rate,93,45
typed relational edges per semantic unit,85,37
long-horizon context conservation/utilization,84,34
length-controlled token/compression metrics,62,40
constraint count and dependency depth,10,4
instruction dependency graph topology,5,3
