file,sha256,bytes
00_INPUT_SHA256.csv,fe8d325de0d6cd1777a60873f88c4429863273bdf3a914318d7694e6bce3f239,396
00_PROTOCOL.txt,d651afb86c33667d0c430c15c48de7aa38832c0af278698ac1d1ef38cd910f59,739
01_CLAIM_FAMILY_COUNTS.csv,527613b9818221e24400a702af7b936c73d84b26609982933f40e7a4465060e4,1141
02_CLAIM_CONVERSATION_RANKING.csv,013a15af9977c0619d6d23275725a30114f6aeb8f67312c1ae75300956c3b956,292696
03_CANDIDATE_MEASURE_COUNTS.csv,02674e0b1b99b3e5e96bf846243f323846c8e372f8ae16f6f8a32011d43019db,1240
04_CLAIM_FAMILY_PAIR_LIFT.csv,e6497473d9114bc482a5189813e043bd958e5fdbc695d263db884300340280aa,66378
05_MESSAGE_STRUCTURAL_FEATURES.csv,11a89832ad6fe2cbb720e6f4e83a2adc915a57e0941025e3c75788d59cef1764,31131840
06_CONVERSATION_STRUCTURAL_DYNAMIC_FEATURES.csv,03509be807e0af20c0ef1830f1c98272b68512ca21095473846d2ba36f55a731,1911595
07_USER_TO_ASSISTANT_TRANSITIONS.csv,0a5556b63e4585cfa6952ad915803e33cf83c5f6482c0c01e651f7a94543e236,21165
08_DOMINANT_STATE_TRANSITION_GRAPH.csv,99d4bb750330c2c1cbf8c5a71fc86adefadbbf2549811400ba2d0a8301ba6378,23488
09_MONTHLY_TRAJECTORIES.csv,1e37d8af580aae71673a541e4e8485ea1efb0ea4a60cbec85d18800d5754befa,127687
10_DISCOVERY_FEATURE_EFFECTS.csv,dfd6218d93f52a83771252bc572b1a55f1f45d8affce827a3ca562dcdf171b2f,26471
11_CANDIDATE_MEASURE_CONJUNCTIONS.csv,0ad54fd7c8d605645103e03033fe8a0b20b65bb30431f098f1edc84c28410392,385
12_TOP50_DISCOVERY_FEATURES.csv,309124a69e9c037827c9680a971024d0132bde7decd1f221489afbf7a39d6708,7045
