ROW_INDEX,conversation_id,y,model_slug,raw_chars,raw_turns,SURFACE_FREE_SCORE,OPERATOR_RELATIONAL_SCORE,JOINT_MULTILAYER_SCORE,R1_COMPATIBLE_SCORE
116,686b0607-68e8-8013-9849-6368b51d1e9c,1,gpt-4o,372809,35,0.9999950564924481,0.9999780485723132,0.9946336799247835,0.9999999871042323
117,686deec5-0a08-8013-8808-a1b285539196,1,gpt-4o,268179,186,0.9742989267500382,0.9192481323974414,0.8215732476295442,0.9432906853755552
118,686e3c0a-d268-8013-95b8-e15b8f27aa45,1,gpt-4o,385231,150,0.996822591248491,0.9932415745868713,0.8627250940082771,0.9989429957499955
119,686f328c-4640-8013-a5d2-adde98f79d6e,1,gpt-4o,183504,86,0.9935716011548561,0.9997376944555564,0.8801062593547557,0.9970739962009488
120,686faa01-018c-8013-9b5c-7941f2b26bd3,1,gpt-4o,1011673,608,0.9992467513681885,0.9997976993070762,0.9099953002059753,0.9958416634466771
121,686fc032-fee0-8013-921b-ac448f2a85a3,1,gpt-4o,38002,24,0.9979404947843359,0.9344232435454084,0.7835410238671835,0.982303101344896
122,6872dfc3-dc88-8013-a8fd-6cb2a2d58393,1,gpt-4o,1624685,781,0.9578681085956181,0.9907287463068312,0.8554058222040639,0.982538072406278
123,6876c2ed-7954-8013-bfc7-bf0c9bfaa385,1,gpt-4o,482669,184,0.9985581453523338,0.9872181286253547,0.8400601349799969,0.9990842226821484
124,68781614-5d8c-8013-8c69-5a58de96d781,1,gpt-4o,56278,48,0.9876973666827749,0.9858465495837412,0.773164544973401,0.9872530805252379
125,68794bb7-00b0-8013-9b73-2023d1728886,1,gpt-4o,282575,142,0.9995650286836204,0.9985500900862336,0.898410680357258,0.9973517147908989
126,687daab5-a9bc-8013-92eb-f04e3c653cd6,1,gpt-4o,1069522,559,0.9868671920549825,0.9987794160711084,0.8778879088981445,0.9923148311473067
127,68828116-7f30-8326-8a5e-14084fb8c048,1,gpt-4o,73347,27,0.9930967772056872,0.9998917727937376,0.8943312211826715,0.9926626293261944
128,6882913c-a018-8332-a8ce-47b0c6187a4a,1,gpt-4o,743178,546,0.978009451416433,0.9833169772285035,0.8133069801813403,0.5075574915897434
