FILE_NAME,FULL_PATH,TYPE,RECORD_COUNT,ID_COLUMN,UNIQUE_IDS,HISTORICAL_ID_OVERLAP,OVERLAP_RATE,FINAL_PROVENANCE_STATUS,REASON
WILDCHAT_EXACT_FROZEN_FEATURES.parquet,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\04_EXTERNAL_FEATURES\WILDCHAT_EXACT_FROZEN_FEATURES.parquet,.parquet,6765,,,,,HISTORICAL_DERIVED_EXCLUDE,Derived artifact from prior F2 external-population experiment.
wildchat_post.jsonl,C:\RSOS\Training data\wildchat_post.jsonl,.jsonl,37207,conversation_hash,33057,33057,1.0,HISTORICAL_OVERLAP_EXCLUDE,Stable IDs overlap with previously used historical WildChat population.
wildchat_post2.jsonl,C:\RSOS\Training data\wildchat_post2.jsonl,.jsonl,37207,conversation_hash,35636,35636,1.0,HISTORICAL_OVERLAP_EXCLUDE,Stable IDs overlap with previously used historical WildChat population.
wildchat.jsonl,C:\RSOS\wildchat_split\wildchat.jsonl,.jsonl,37208,conversation_hash,22256,22256,1.0,HISTORICAL_OVERLAP_EXCLUDE,Stable IDs overlap with previously used historical WildChat population.
wildchat_part_001.jsonl,C:\RSOS\wildchat_split\wildchat_part_001.jsonl,.jsonl,3829,conversation_hash,3707,3707,1.0,HISTORICAL_OVERLAP_EXCLUDE,Stable IDs overlap with previously used historical WildChat population.
wildchat_part_002.jsonl,C:\RSOS\wildchat_split\wildchat_part_002.jsonl,.jsonl,5030,conversation_hash,4846,4846,1.0,HISTORICAL_OVERLAP_EXCLUDE,Stable IDs overlap with previously used historical WildChat population.
wildchat_part_003.jsonl,C:\RSOS\wildchat_split\wildchat_part_003.jsonl,.jsonl,3881,conversation_hash,3660,3660,1.0,HISTORICAL_OVERLAP_EXCLUDE,Stable IDs overlap with previously used historical WildChat population.
wildchat_part_004.jsonl,C:\RSOS\wildchat_split\wildchat_part_004.jsonl,.jsonl,7511,conversation_hash,4719,4719,1.0,HISTORICAL_OVERLAP_EXCLUDE,Stable IDs overlap with previously used historical WildChat population.
wildchat_part_005.jsonl,C:\RSOS\wildchat_split\wildchat_part_005.jsonl,.jsonl,10436,conversation_hash,3563,3563,1.0,HISTORICAL_OVERLAP_EXCLUDE,Stable IDs overlap with previously used historical WildChat population.
wildchat_part_006.jsonl,C:\RSOS\wildchat_split\wildchat_part_006.jsonl,.jsonl,6521,conversation_hash,2273,2273,1.0,HISTORICAL_OVERLAP_EXCLUDE,Stable IDs overlap with previously used historical WildChat population.
