feature,discovery_hits,discovery_N,discovery_rate,background_hits,background_N,background_rate,log_prevalence_ratio,frozen_weight,kernel_edge_count,kernel_fraction,kernel_families,K1_PRODUCTION,K2_REENTRY,K3_META_RELATION,K4_LOCAL_TARGET,K5_CONSERVATION,K6_PRESERVATION_REENTRY,K7_RETURN_TO_PROCESS
P15_TRANSFORMATION_REENTRY,11,2701,0.004439511653718091,0,7746,0.00012906556530717606,3.5379791280384394,3.5379791280384394,2,0.2857142857142857,RECURSIVE_REENTRY;TRANSFORMATION,1,1,0,0,0,0,0
P16_EVOLUTIONARY_INHERITANCE,6,2701,0.002589715131335553,1,7746,0.0002581311306143521,2.3058354467458066,2.3058354467458066,2,0.2857142857142857,GENEALOGY;TRANSFORMATION,1,0,0,0,1,0,0
P21_ANCHORED_TRANSFORMATION,61,2701,0.02293747687754347,3,7746,0.0005162622612287042,3.79391250217564,3.79391250217564,1,0.14285714285714285,TRANSFORMATION,1,0,0,0,0,0,0
P23_COMPRESSION_REENTRY,13,2701,0.005179430262671106,0,7746,0.00012906556530717606,3.6921298078656974,3.6921298078656974,1,0.14285714285714285,COMPRESSION_RECONSTRUCTION;RECURSIVE_REENTRY,0,0,0,0,0,0,1
P19_CONTAINED_CONTROLLER,29,2701,0.011098779134295227,4,7746,0.0006453278265358802,2.844831947478494,2.844831947478494,1,0.14285714285714285,CONTROL_OF_CONTROL,0,0,1,0,0,0,0
P06_META_CONTROL,0,2701,0.0003699593044765076,0,7746,0.00012906556530717606,1.0530724782504388,1.0530724782504388,1,0.14285714285714285,CONTROL_OF_CONTROL,0,0,1,0,0,0,0
P07_RECURSIVE_CONTROL,16,2701,0.006289308176100629,0,7746,0.00012906556530717606,3.886285822306655,3.886285822306655,0,0.0,RECURSIVE_REENTRY,0,0,0,0,0,0,0
P18_REFLECTIVE_REENTRY,10,2701,0.004069552349241583,0,7746,0.00012906556530717606,3.4509677510488093,3.4509677510488093,0,0.0,RECURSIVE_REENTRY,0,0,0,0,0,0,0
P17_SYMBOLIC_TRANSPOSITION,9,2701,0.003699593044765076,0,7746,0.00012906556530717606,3.3556575712444845,3.3556575712444845,0,0.0,,0,0,0,0,0,0,0
P22_RECONSTRUCTION_CONTINUITY,9,2701,0.003699593044765076,0,7746,0.00012906556530717606,3.3556575712444845,3.3556575712444845,0,0.0,COMPRESSION_RECONSTRUCTION,0,0,0,0,0,0,0
P29_RECURSIVE_GENEALOGY,3,2701,0.0014798372179060304,0,7746,0.00012906556530717606,2.4393668393703294,2.4393668393703294,0,0.0,GENEALOGY;RECURSIVE_REENTRY,0,0,0,0,0,0,0
P09_HIERARCHICAL_FEEDBACK,9,2701,0.003699593044765076,2,7746,0.0003871966959215281,2.257045282576375,2.257045282576375,0,0.0,RECURSIVE_REENTRY,0,0,0,0,0,0,0
P02_SYSTEM_SELF_OBSERVATION,2,2701,0.0011098779134295228,0,7746,0.00012906556530717606,2.1516847669185486,2.1516847669185486,0,0.0,,0,0,0,0,0,0,0
P03_OBSERVER_INSIDE_SYSTEM,8,2701,0.003329633740288568,2,7746,0.0003871966959215281,2.1516847669185486,2.1516847669185486,0,0.0,,0,0,0,0,0,0,0
P05_OBSERVER_OF_OBSERVER,2,2701,0.0011098779134295228,0,7746,0.00012906556530717606,2.1516847669185486,2.1516847669185486,0,0.0,,0,0,0,0,0,0,0
