SCOPE,VARIABLE,CRAMERS_V,CHI2_P,CHI2,TABLE_ROWS,TABLE_COLS,NMI,AMI,INTERPRETATION
ALL,PROVIDER,0.15315385668582807,9.583358899211674e-297,1594.9681473988996,8,9,0.039201020793336594,0.037823927769015525,ASSOCIATION_MEASURE_ONLY_NOT_CAUSAL_CONFOUND
ALL,MODEL,0.20752845401857217,0.0,2928.541891340572,8,52,0.049828581922928286,0.0436157922781461,ASSOCIATION_MEASURE_ONLY_NOT_CAUSAL_CONFOUND
ALL,WINNER_RAW,0.0569707721590408,2.58195061101919e-11,94.58528251253922,8,4,0.002951706213108223,0.0022901763778629246,ASSOCIATION_MEASURE_ONLY_NOT_CAUSAL_CONFOUND
ALL,PERSPECTIVE_LABEL,0.0691732727593052,1.7399945436843086e-19,139.44276997908491,8,4,0.004328178922284102,0.003667562574531571,ASSOCIATION_MEASURE_ONLY_NOT_CAUSAL_CONFOUND
ALL,LANGUAGE,0.2695908059666269,0.0,4942.040422592689,8,54,0.11765754644600265,0.10893648068328256,ASSOCIATION_MEASURE_ONLY_NOT_CAUSAL_CONFOUND
ALL,IS_CODE,0.24367329473199412,2.4259214312232777e-120,576.7850167297067,8,2,0.0247322789303593,0.024460683511618023,ASSOCIATION_MEASURE_ONLY_NOT_CAUSAL_CONFOUND
ALL,ERA_2025_06_08,0.08800048636081409,1.2902685559338978e-13,75.22604751587266,8,2,0.002916917979778795,0.0026452847250924686,ASSOCIATION_MEASURE_ONLY_NOT_CAUSAL_CONFOUND
NONCODE,PROVIDER,0.17900957485737087,1.179773685720083e-286,1546.8486231358477,8,9,0.05523673354313394,0.0533065149812021,ASSOCIATION_MEASURE_ONLY_NOT_CAUSAL_CONFOUND
NONCODE,MODEL,0.2384502125479312,0.0,2744.6736985304206,8,52,0.0678622129230826,0.05910733882453812,ASSOCIATION_MEASURE_ONLY_NOT_CAUSAL_CONFOUND
NONCODE,WINNER_RAW,0.0702597079880995,1.2124242553790112e-12,102.12479280926247,8,4,0.004687882083437172,0.0037467864046468835,ASSOCIATION_MEASURE_ONLY_NOT_CAUSAL_CONFOUND
NONCODE,PERSPECTIVE_LABEL,0.08316771552603426,3.566483409436713e-20,143.0961839235909,8,4,0.006481419366357638,0.005542049315087798,ASSOCIATION_MEASURE_ONLY_NOT_CAUSAL_CONFOUND
NONCODE,LANGUAGE,0.3018311803409807,0.0,4397.678709157302,8,52,0.14047742146130937,0.12935316249241846,ASSOCIATION_MEASURE_ONLY_NOT_CAUSAL_CONFOUND
NONCODE,ERA_2025_06_08,0.11193853189725715,6.747394691139975e-16,86.40850003116822,8,2,0.004814005217349629,0.0044270440677663565,ASSOCIATION_MEASURE_ONLY_NOT_CAUSAL_CONFOUND
CODE,PROVIDER,0.11998437786019708,3.1561293505234403e-32,283.9804458550144,8,9,0.026679701377756774,0.021913664817683528,ASSOCIATION_MEASURE_ONLY_NOT_CAUSAL_CONFOUND
CODE,MODEL,0.19656712358083364,1.688730069447616e-31,762.1856957208958,8,52,0.05100023917621294,0.02884672219018851,ASSOCIATION_MEASURE_ONLY_NOT_CAUSAL_CONFOUND
CODE,WINNER_RAW,0.07206966250410812,0.00240142701715981,43.91038248671743,8,4,0.004736758911206821,0.0024941423964370893,ASSOCIATION_MEASURE_ONLY_NOT_CAUSAL_CONFOUND
CODE,PERSPECTIVE_LABEL,0.08065358911171945,7.085212131065157e-05,54.99328214503391,8,4,0.005788900564610674,0.0035492089910233717,ASSOCIATION_MEASURE_ONLY_NOT_CAUSAL_CONFOUND
CODE,LANGUAGE,0.2506842163829294,5.7189773598412845e-151,1239.6326609523421,8,29,0.10950778852186063,0.09133874988783162,ASSOCIATION_MEASURE_ONLY_NOT_CAUSAL_CONFOUND
CODE,ERA_2025_06_08,0.0631339388333681,0.12880433895010096,11.232249947510375,8,2,0.0014724967176265868,0.0005539885714354304,ASSOCIATION_MEASURE_ONLY_NOT_CAUSAL_CONFOUND
