RUN_ID,CANONICAL_ID,CANONICAL_NAME,FULL_PATH,FILE_NAME,EXTENSION,SIZE_BYTES,MATCHED_ALIASES,SOURCE_CLUSTER,ROLE_SIGNALS,DISCOVERY_CLASS
RUN-008,CAN-F1-R5,F1 Development R5 - V12 Specificity Operator,C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_R5_V12_SPECIFICITY_OPERATOR_COMPLETE.zip,F1_DEV_R5_V12_SPECIFICITY_OPERATOR_COMPLETE.zip,.zip,1081086,f1_dev_r5_v12_specificity_operator|r5_v12_specificity_operator,C:\RSOS\F1_FINAL_COMPLETE,AUTHORITY,PRIMARY_CANDIDATE
RUN-008,CAN-F1-R5,F1 Development R5 - V12 Specificity Operator,C:\RSOS\F1_FINAL_LOCAL\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_R5_V12_SPECIFICITY_OPERATOR_COMPLETE.zip,F1_DEV_R5_V12_SPECIFICITY_OPERATOR_COMPLETE.zip,.zip,1081086,f1_dev_r5_v12_specificity_operator|r5_v12_specificity_operator,C:\RSOS\F1_FINAL_LOCAL,AUTHORITY,PRIMARY_CANDIDATE
RUN-008,CAN-F1-R5,F1 Development R5 - V12 Specificity Operator,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\__pycache__\RUN_F1_DEV_R5_V12_SPECIFICITY_OPERATOR.cpython-313.pyc,RUN_F1_DEV_R5_V12_SPECIFICITY_OPERATOR.cpython-313.pyc,.pyc,36836,f1_dev_r5_v12_specificity_operator|r5_v12_specificity_operator,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR,OTHER,RUNTIME_OR_LIBRARY
RUN-008,CAN-F1-R5,F1 Development R5 - V12 Specificity Operator,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\AUTHENTIC_V12_FROZEN_SIGNATURE.csv,AUTHENTIC_V12_FROZEN_SIGNATURE.csv,.csv,752,f1_dev_r5_v12_specificity_operator|r5_v12_specificity_operator,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR,AUTHORITY,PRIMARY_CANDIDATE
RUN-008,CAN-F1-R5,F1 Development R5 - V12 Specificity Operator,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\ENVIRONMENT.json,ENVIRONMENT.json,.json,280,f1_dev_r5_v12_specificity_operator|r5_v12_specificity_operator,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR,OTHER,PRIMARY_CANDIDATE
RUN-008,CAN-F1-R5,F1 Development R5 - V12 Specificity Operator,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\FINAL_ZIP_SHA256.txt,FINAL_ZIP_SHA256.txt,.txt,66,f1_dev_r5_v12_specificity_operator|r5_v12_specificity_operator,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR,AUTHORITY,PRIMARY_CANDIDATE
RUN-008,CAN-F1-R5,F1 Development R5 - V12 Specificity Operator,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\OUTPUT_SHA256_MANIFEST.csv,OUTPUT_SHA256_MANIFEST.csv,.csv,2731,f1_dev_r5_v12_specificity_operator|r5_v12_specificity_operator,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR,RESULT,PRIMARY_CANDIDATE
RUN-008,CAN-F1-R5,F1 Development R5 - V12 Specificity Operator,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\PYTHON_RUNNER_SHA256.txt,PYTHON_RUNNER_SHA256.txt,.txt,66,f1_dev_r5_v12_specificity_operator|r5_v12_specificity_operator,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR,OTHER,PRIMARY_CANDIDATE
RUN-008,CAN-F1-R5,F1 Development R5 - V12 Specificity Operator,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\POWERSHELL_RUNNER_SHA256.txt,POWERSHELL_RUNNER_SHA256.txt,.txt,66,f1_dev_r5_v12_specificity_operator|r5_v12_specificity_operator,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR,OTHER,PRIMARY_CANDIDATE
RUN-008,CAN-F1-R5,F1 Development R5 - V12 Specificity Operator,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\R5_SUMMARY.json,R5_SUMMARY.json,.json,1469,f1_dev_r5_v12_specificity_operator|r5_v12_specificity_operator,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR,RESULT,PRIMARY_CANDIDATE
RUN-008,CAN-F1-R5,F1 Development R5 - V12 Specificity Operator,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR\00_MANIFEST\R5_SUMMARY.txt,R5_SUMMARY.txt,.txt,533,f1_dev_r5_v12_specificity_operator|r5_v12_specificity_operator,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR,RESULT,PRIMARY_CANDIDATE
